move_name,move_url,pokemon,move_accuracy,move_category,move_crit_rate,move_damage_class,move_drain,move_effect,move_effect_chance,move_flinch_chance,move_healing,move_max_hits,move_max_turns,move_min_hits,move_min_turns,move_power,move_pp,move_priority,move_stat_chance,move_stat_change,move_stat_change_amount,move_target,move_type
swords-dance,https://pokeapi.co/api/v2/move/14/,farfetchd,,net-good-stats,0,status,0,Raises the user's Attack by two stages.,,0,0,,,,,,20,0,0,attack,2.0,user,normal
swords-dance,https://pokeapi.co/api/v2/move/14/,scyther,,net-good-stats,0,status,0,Raises the user's Attack by two stages.,,0,0,,,,,,20,0,0,attack,2.0,user,normal
swords-dance,https://pokeapi.co/api/v2/move/14/,pinsir,,net-good-stats,0,status,0,Raises the user's Attack by two stages.,,0,0,,,,,,20,0,0,attack,2.0,user,normal
sand-attack,https://pokeapi.co/api/v2/move/28/,farfetchd,100.0,net-good-stats,0,status,0,Lowers the target's accuracy by one stage.,,0,0,,,,,,15,0,0,accuracy,-1.0,selected-pokemon,ground
sand-attack,https://pokeapi.co/api/v2/move/28/,pidgeot,100.0,net-good-stats,0,status,0,Lowers the target's accuracy by one stage.,,0,0,,,,,,15,0,0,accuracy,-1.0,selected-pokemon,ground
sand-attack,https://pokeapi.co/api/v2/move/28/,pidgeot,100.0,net-good-stats,0,status,0,Lowers the target's accuracy by one stage.,,0,0,,,,,,15,0,0,accuracy,-1.0,selected-pokemon,ground
sand-attack,https://pokeapi.co/api/v2/move/28/,pidgey,100.0,net-good-stats,0,status,0,Lowers the target's accuracy by one stage.,,0,0,,,,,,15,0,0,accuracy,-1.0,selected-pokemon,ground
sand-attack,https://pokeapi.co/api/v2/move/28/,vaporeon,100.0,net-good-stats,0,status,0,Lowers the target's accuracy by one stage.,,0,0,,,,,,15,0,0,accuracy,-1.0,selected-pokemon,ground
sand-attack,https://pokeapi.co/api/v2/move/28/,jolteon,100.0,net-good-stats,0,status,0,Lowers the target's accuracy by one stage.,,0,0,,,,,,15,0,0,accuracy,-1.0,selected-pokemon,ground
sand-attack,https://pokeapi.co/api/v2/move/28/,flareon,100.0,net-good-stats,0,status,0,Lowers the target's accuracy by one stage.,,0,0,,,,,,15,0,0,accuracy,-1.0,selected-pokemon,ground
sand-attack,https://pokeapi.co/api/v2/move/28/,sandslash,100.0,net-good-stats,0,status,0,Lowers the target's accuracy by one stage.,,0,0,,,,,,15,0,0,accuracy,-1.0,selected-pokemon,ground
sand-attack,https://pokeapi.co/api/v2/move/28/,sandslash,100.0,net-good-stats,0,status,0,Lowers the target's accuracy by one stage.,,0,0,,,,,,15,0,0,accuracy,-1.0,selected-pokemon,ground
sand-attack,https://pokeapi.co/api/v2/move/28/,pidgeotto,100.0,net-good-stats,0,status,0,Lowers the target's accuracy by one stage.,,0,0,,,,,,15,0,0,accuracy,-1.0,selected-pokemon,ground
sand-attack,https://pokeapi.co/api/v2/move/28/,pidgeotto,100.0,net-good-stats,0,status,0,Lowers the target's accuracy by one stage.,,0,0,,,,,,15,0,0,accuracy,-1.0,selected-pokemon,ground
sand-attack,https://pokeapi.co/api/v2/move/28/,eevee,100.0,net-good-stats,0,status,0,Lowers the target's accuracy by one stage.,,0,0,,,,,,15,0,0,accuracy,-1.0,selected-pokemon,ground
sand-attack,https://pokeapi.co/api/v2/move/28/,diglett,100.0,net-good-stats,0,status,0,Lowers the target's accuracy by one stage.,,0,0,,,,,,15,0,0,accuracy,-1.0,selected-pokemon,ground
sand-attack,https://pokeapi.co/api/v2/move/28/,dugtrio,100.0,net-good-stats,0,status,0,Lowers the target's accuracy by one stage.,,0,0,,,,,,15,0,0,accuracy,-1.0,selected-pokemon,ground
sand-attack,https://pokeapi.co/api/v2/move/28/,sandshrew,100.0,net-good-stats,0,status,0,Lowers the target's accuracy by one stage.,,0,0,,,,,,15,0,0,accuracy,-1.0,selected-pokemon,ground
fury-attack,https://pokeapi.co/api/v2/move/31/,farfetchd,85.0,damage,0,physical,0,"Inflicts regular damage.  Hits 2–5 times in one turn.

Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use.",,0,0,5.0,,2.0,,15.0,20,0,0,,,selected-pokemon,normal
fury-attack,https://pokeapi.co/api/v2/move/31/,rhyhorn,85.0,damage,0,physical,0,"Inflicts regular damage.  Hits 2–5 times in one turn.

Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use.",,0,0,5.0,,2.0,,15.0,20,0,0,,,selected-pokemon,normal
fury-attack,https://pokeapi.co/api/v2/move/31/,fearow,85.0,damage,0,physical,0,"Inflicts regular damage.  Hits 2–5 times in one turn.

Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use.",,0,0,5.0,,2.0,,15.0,20,0,0,,,selected-pokemon,normal
fury-attack,https://pokeapi.co/api/v2/move/31/,nidoran-m,85.0,damage,0,physical,0,"Inflicts regular damage.  Hits 2–5 times in one turn.

Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use.",,0,0,5.0,,2.0,,15.0,20,0,0,,,selected-pokemon,normal
fury-attack,https://pokeapi.co/api/v2/move/31/,goldeen,85.0,damage,0,physical,0,"Inflicts regular damage.  Hits 2–5 times in one turn.

Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use.",,0,0,5.0,,2.0,,15.0,20,0,0,,,selected-pokemon,normal
fury-attack,https://pokeapi.co/api/v2/move/31/,seaking,85.0,damage,0,physical,0,"Inflicts regular damage.  Hits 2–5 times in one turn.

Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use.",,0,0,5.0,,2.0,,15.0,20,0,0,,,selected-pokemon,normal
fury-attack,https://pokeapi.co/api/v2/move/31/,beedrill,85.0,damage,0,physical,0,"Inflicts regular damage.  Hits 2–5 times in one turn.

Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use.",,0,0,5.0,,2.0,,15.0,20,0,0,,,selected-pokemon,normal
fury-attack,https://pokeapi.co/api/v2/move/31/,beedrill,85.0,damage,0,physical,0,"Inflicts regular damage.  Hits 2–5 times in one turn.

Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use.",,0,0,5.0,,2.0,,15.0,20,0,0,,,selected-pokemon,normal
fury-attack,https://pokeapi.co/api/v2/move/31/,nidorino,85.0,damage,0,physical,0,"Inflicts regular damage.  Hits 2–5 times in one turn.

Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use.",,0,0,5.0,,2.0,,15.0,20,0,0,,,selected-pokemon,normal
fury-attack,https://pokeapi.co/api/v2/move/31/,dodrio,85.0,damage,0,physical,0,"Inflicts regular damage.  Hits 2–5 times in one turn.

Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use.",,0,0,5.0,,2.0,,15.0,20,0,0,,,selected-pokemon,normal
fury-attack,https://pokeapi.co/api/v2/move/31/,dodrio,85.0,damage,0,physical,0,"Inflicts regular damage.  Hits 2–5 times in one turn.

Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use.",,0,0,5.0,,2.0,,15.0,20,0,0,,,selected-pokemon,normal
fury-attack,https://pokeapi.co/api/v2/move/31/,rhydon,85.0,damage,0,physical,0,"Inflicts regular damage.  Hits 2–5 times in one turn.

Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use.",,0,0,5.0,,2.0,,15.0,20,0,0,,,selected-pokemon,normal
