pokemon,pokemonb,avg_moves,pokemon_wins,pokemonb_wins,ties
aerodactyl,porygon,8.382,1000,0,0
dragonair,porygon,10.319,136,864,0
nidorino,porygon,6.935,21,979,0
golbat,porygon,10.092,396,604,0
electabuzz,porygon,8.715,892,108,0
porygon,sandslash,10.526,658,342,0
charizard,porygon,10.963,886,114,0
ivysaur,porygon,8.21,283,717,0
poliwrath,porygon,11.634,837,163,0
mr-mime,porygon,10.676,410,590,0
omastar,porygon,9.093,997,3,0
kadabra,porygon,5.714,606,394,0
porygon,shellder,3.132,1000,0,0
jolteon,porygon,9.526,828,172,0
porygon,venomoth,9.666,767,233,0
porygon,weepinbell,6.256,957,43,0
goldeen,porygon,6.203,4,996,0
exeggcute,porygon,8.508,333,667,0
meowth,porygon,4.318,0,1000,0
electrode,porygon,9.715,467,533,0
porygon,wigglytuff,11.963,62,938,0
kangaskhan,porygon,9.085,998,2,0
eevee,porygon,8.665,8,992,0
chansey,porygon,15.879,26,974,0
grimer,porygon,8.256,0,1000,0
growlithe,porygon,7.201,31,969,0
kabutops,porygon,10.579,957,43,0
krabby,porygon,3.064,44,956,0
charmander,porygon,5.368,0,1000,0
farfetchd,porygon,7.049,564,436,0
pidgeot,porygon,11.937,814,186,0
koffing,porygon,4.603,53,947,0
porygon,vileplume,6.607,14,986,0
porygon,rhydon,8.446,0,1000,0
machamp,porygon,5.476,986,14,0
cubone,porygon,7.166,32,968,0
arcanine,porygon,9.313,995,5,0
articuno,porygon,7.303,1000,0,0
porygon,weedle,2.351,1000,0,0
nidoqueen,porygon,13.683,410,590,0
porygon,weezing,6.89,295,705,0
porygon,zapdos,5.869,0,1000,0
machop,porygon,5.045,307,693,0
hypno,porygon,12.848,997,3,0
poliwhirl,porygon,8.792,40,960,0
porygon,zubat,3.605,1000,0,0
clefable,porygon,16.584,778,217,5
magnemite,porygon,4.102,0,1000,0
golem,porygon,5.065,1000,0,0
porygon,venusaur,8.331,34,966,0
porygon,voltorb,5.82,998,2,0
magikarp,porygon,2.281,0,1000,0
machoke,porygon,6.175,822,178,0
pikachu,porygon,4.393,0,1000,0
lickitung,porygon,14.745,675,325,0
gyarados,porygon,11.587,987,13,0
persian,porygon,9.154,517,483,0
oddish,porygon,5.731,103,897,0
pidgey,porygon,4.347,0,1000,0
pinsir,porygon,8.598,874,126,0
porygon,raticate,9.377,838,162,0
dewgong,porygon,10.642,1000,0,0
nidorina,porygon,7.889,19,981,0
porygon,psyduck,6.578,991,9,0
bulbasaur,porygon,5.817,6,994,0
ninetales,porygon,15.259,505,495,0
lapras,porygon,8.447,1000,0,0
haunter,porygon,10.555,199,801,0
charmeleon,porygon,9.22,134,866,0
blastoise,porygon,10.933,984,16,0
mew,porygon,8.98,1000,0,0
porygon,slowbro,9.668,0,1000,0
porygon,tauros,8.856,89,911,0
graveler,porygon,6.2,913,87,0
porygon,seel,11.15,1000,0,0
dragonite,porygon,11.115,961,39,0
kabuto,porygon,6.546,26,974,0
porygon,raichu,10.736,885,115,0
mewtwo,porygon,5.71,1000,0,0
poliwag,porygon,4.46,0,1000,0
porygon,snorlax,5.502,0,1000,0
dugtrio,porygon,5.515,342,658,0
nidoking,porygon,10.444,541,459,0
dodrio,porygon,7.942,512,488,0
gastly,porygon,5.49,40,960,0
kingler,porygon,5.733,659,341,0
porygon,vulpix,5.763,1000,0,0
porygon,victreebel,9.419,508,492,0
porygon,slowpoke,12.226,937,63,0
alakazam,porygon,5.76,995,5,0
nidoran-f,porygon,4.969,0,1000,0
fearow,porygon,8.026,737,263,0
porygon,spearow,3.867,1000,0,0
ponyta,porygon,8.198,24,976,0
porygon,tentacool,5.72,1000,0,0
paras,porygon,5.406,0,1000,0
doduo,porygon,3.887,7,993,0
porygon,primeape,6.694,317,683,0
arbok,porygon,8.756,0,1000,0
parasect,porygon,9.317,767,233,0
hitmonlee,porygon,3.202,1000,0,0
cloyster,porygon,7.001,163,837,0
porygon,squirtle,7.374,995,5,0
magmar,porygon,8.898,865,135,0
porygon,wartortle,10.68,667,333,0
geodude,porygon,5.158,272,728,0
porygon,seaking,10.855,141,859,0
nidoran-m,porygon,4.323,0,1000,0
porygon,rattata,3.045,1000,0,0
moltres,porygon,5.632,998,2,0
hitmonchan,porygon,8.755,383,617,0
clefairy,porygon,10.528,0,1000,0
pidgeotto,porygon,8.515,7,993,0
jynx,porygon,10.929,478,522,0
mankey,porygon,3.673,32,968,0
porygon,starmie,13.302,443,557,0
drowzee,porygon,12.863,67,933,0
gloom,porygon,7.403,507,493,0
magneton,porygon,9.418,31,969,0
porygon,venonat,6.845,1000,0,0
dratini,porygon,5.697,0,1000,0
porygon,scyther,9.021,72,928,0
golduck,porygon,10.28,888,112,0
porygon,vaporeon,12.007,0,1000,0
caterpie,porygon,3.18,0,1000,0
beedrill,porygon,8.209,250,750,0
marowak,porygon,9.333,749,251,0
porygon,rhyhorn,10.189,645,355,0
gengar,porygon,15.362,566,434,0
porygon,seadra,6.593,633,367,0
flareon,porygon,11.72,784,216,0
porygon,staryu,4.523,997,3,0
porygon,sandshrew,5.275,997,3,0
omanyte,porygon,8.059,191,809,0
horsea,porygon,3.13,1,999,0
butterfree,porygon,10.83,73,927,0
diglett,porygon,1.505,0,1000,0
porygon,tentacruel,13.516,540,460,0
ekans,porygon,3.983,0,1000,0
